=== IGA Flyer Fetch — 2026-05-14 ===
Run started : 2026-05-14 13:46:34 UTC

Loaded 271 stores from data/iga/stores.parquet

Stores loaded: 271
Loaded store_flyers.parquet (2956 publication entries)

Phase 1: fetching publications per store…

  [7921657] Themed Brochure  (2026-05-14T00:00:00-04:00 → 2026-05-20T23:59:59-04:00)
    25 products
  [7927101] Themed Brochure  (2026-05-14T00:00:00-04:00 → 2026-05-20T23:59:59-04:00)
    43 products
  [7911255] Themed Brochure  (2026-05-14T00:00:00-04:00 → 2026-05-20T23:59:59-04:00)
    21 products
  [7926564] Quebec  (2026-05-14T00:00:00-04:00 → 2026-05-20T23:59:59-04:00)
    417 products
  [7926560] Quebec  (2026-05-14T00:00:00-04:00 → 2026-05-20T23:59:59-04:00)
    417 products
  [7926574] Quebec  (2026-05-14T00:00:00-04:00 → 2026-05-20T23:59:59-04:00)
    421 products
  [7926578] Quebec  (2026-05-14T00:00:00-04:00 → 2026-05-20T23:59:59-04:00)
    436 products
  [7926576] Quebec  (2026-05-14T00:00:00-04:00 → 2026-05-20T23:59:59-04:00)
    433 products
  [7926568] Quebec  (2026-05-14T00:00:00-04:00 → 2026-05-20T23:59:59-04:00)
    420 products
  [7926572] Quebec  (2026-05-14T00:00:00-04:00 → 2026-05-20T23:59:59-04:00)
    421 products
  [7926566] Quebec  (2026-05-14T00:00:00-04:00 → 2026-05-20T23:59:59-04:00)
    408 products
  [7926570] Quebec  (2026-05-14T00:00:00-04:00 → 2026-05-20T23:59:59-04:00)
    433 products
  [7921330] Iles-de-la-Madeleine  (2026-05-14T00:00:00-04:00 → 2026-05-20T23:59:59-04:00)
    129 products

── Phase 2 results ──────────────────────────────────────────────────
  Downloaded : 19
  Skipped    : 0  (file already existed)
  Errors     : 0

Run completed: 2026-05-14 13:47:07 UTC
Elapsed      : 0m 33s


Done.  Verbose log → logs/iga/2026-05-14_verbose.log
       Summary log → logs/iga/2026-05-14_summary.log

